id,pop,lat,lon,id2,Date,city,Elevation,plus_code,Capture_method,sex,Weiht_rams,body_width,body_circumference,Wing,Tarsus,wingspan,Beak_length,length_body,Colour_Secondary_feathers,Colour_Beak,Colour_Eye_circle,Colour_Back,Colour_Chest
Sshn35,South Sharqiyah,21.5704375,59.5316875,45,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,110.45,4,13.8,19.5,3.8,40,2,24,black,yellow,yellow,brown_grey,brown_grey
sshn39,South Sharqiyah,21.5704375,59.5316875,70,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,105.15,4,12,20.5,4,41,2,25,black,yellow,yellow,brown_grey,brown_grey
Sshn49,South Sharqiyah,21.5704375,59.5316875,50,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,115.5,4,13,21,4,43,2,26.5,black,yellow,yellow,brown_grey,brown_grey
sshn50,South Sharqiyah,21.5704375,59.5316875,77,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,108.19,4,12.2,20.5,4,42,2.1,25.2,black,yellow,yellow,brown_grey,brown_grey
sshn51,South Sharqiyah,21.5704375,59.5316875,78,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,121.26,4,12.5,20,4,41,2,25.5,black,yellow,yellow,brown_grey,brown_grey
Sshn40,South Sharqiyah,21.5704375,59.5316875,53,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,136.2,4,13,20.5,4,42,2.1,26,black,yellow,yellow,brown_grey,brown_grey
Sshn41,South Sharqiyah,21.5704375,59.5316875,44,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,113.74,4,12,20.5,4.1,42.5,2.2,26,black,yellow,yellow,brown_grey,brown_grey
sshn42,South Sharqiyah,21.5704375,59.5316875,71,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,127.64,4,13,22,4,43.5,2,27,black,yellow,yellow,brown_grey,brown_grey
sshn43,South Sharqiyah,21.5704375,59.5316875,72,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,97.92,4,11.5,20.4,4,41.5,2.1,25.3,black,yellow,yellow,brown_grey,brown_grey
sshn44,South Sharqiyah,21.5704375,59.5316875,73,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,97.89,4,11.2,20,3.5,40,2,24,black,orange,yellow,brown_grey,brown_grey
sshn45,South Sharqiyah,21.5704375,59.5316875,74,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,111.88,4,12,21.5,4,43,2,27,black,orange,yellow,brown_grey,brown_grey
sshn47,South Sharqiyah,21.5704375,59.5316875,75,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Female,103.96,4,12,20.5,4,41.5,2,25.5,black,yellow,yellow,brown_grey,brown_grey
sshn48,South Sharqiyah,21.5704375,59.5316875,76,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,131.61,4,12,22.2,4,45,2.3,27.2,black,yellow,yellow,brown_grey,brown_grey
Sshn52,South Sharqiyah,21.5704375,59.5316875,42,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,119.51,4,14,19.2,3.9,39.5,2.2,25,black,yellow,yellow,brown_grey,brown_grey
MRBM008,Dhofar,17.9925625,54.6916875,290,2/20/24,Mirbat,20,7H9PXMVR+2M,Shoot,Male,119.7,4,12,22,4,44,2,26,white,yellow,yellow,brown_grey,brown_grey
TAQM001,Dhofar,18.0323125,54.3633125,291,2/20/24,Taqah,40,7HCP29J7+W8G,Shoot,Male,123.9,4,12,22,4,45,2.2,26,white,yellow,yellow,brown_grey,brown_grey
TAQM002,Dhofar,18.0323125,54.3633125,292,2/20/24,Taqah,40,7HCP29J7+W8G,Shoot,Female,149,4,12,21,4,44,2.2,26.5,white,yellow,yellow,brown_grey,brown_grey
sshn53,South Sharqiyah,21.5704375,59.5316875,79,12/19/23,Sur,9,7HHXHGCJ+5MF,Shoot,Male,119.33,4,13,21.5,4,41.5,2.2,26,black,yellow,yellow,brown_grey,brown_grey
